order_id,customer_id,order_date,order_amount,order_status
100001,205,2025-01-02,1495.29,Completed
100002,439,2025-01-18,1981.0,Completed
100003,640,2025-06-30,1080.59,Cancelled
100004,389,2024-08-10,1285.74,Pending
100005,47,2025-12-08,704.4,Completed
100006,670,2024-11-01,1054.61,Completed
100007,747,2025-11-17,2096.44,Cancelled
100008,656,2025-05-18,3543.72,Cancelled
100009,664,2024-05-24,3260.59,Completed
100010,657,2025-08-29,2380.2,Completed
100011,321,2024-03-14,666.15,Completed
100012,20,2025-11-26,1028.53,Completed
100013,989,2025-01-01,1583.2,Completed
100014,201,2025-10-14,3365.67,Completed
100015,836,2024-08-22,1253.36,Completed
100016,537,2025-01-31,814.6,Completed
100017,536,2024-10-24,4614.36,Completed
100018,25,2024-09-01,1116.37,Completed
100019,992,2024-11-29,864.74,Completed
100020,527,2024-02-22,2086.64,Completed
100021,837,2025-01-21,1742.36,Pending
100022,782,2024-04-29,1300.44,Completed
100023,137,2025-05-19,1800.43,Completed
100024,950,2024-03-29,986.02,Completed
100025,593,2024-01-10,1290.8,Completed
100026,183,2025-03-03,1758.22,Cancelled
100027,580,2024-10-16,479.26,Pending
100028,618,2026-05-03,3348.72,Completed
100029,654,2024-09-14,737.42,Completed
100030,313,2025-01-23,977.78,Completed
100031,943,2024-08-17,3448.32,Completed
100032,234,2026-05-15,2606.06,Completed
100033,483,2026-02-06,1905.12,Completed
100034,847,2024-06-16,593.01,Completed
100035,79,2024-09-01,1214.21,Completed
100036,400,2024-06-30,1564.06,Pending
100037,473,2024-05-26,1639.68,Completed
100038,777,2024-08-22,3779.94,Completed
100039,792,2026-04-08,6580.28,Cancelled
100040,803,2025-03-22,2684.36,Completed
100041,351,2025-01-07,1271.8,Pending
100042,483,2024-07-04,3963.61,Completed
100043,30,2024-06-28,1226.99,Completed
100044,830,2025-06-24,327.06,Completed
100045,296,2025-12-31,798.99,Completed
100046,462,2025-06-26,385.21,Completed
100047,682,2025-10-01,1402.56,Completed
100048,781,2024-09-11,1603.04,Completed
100049,86,2026-07-08,639.26,Cancelled
100050,770,2026-03-11,1033.15,Completed
100051,369,2026-05-04,712.24,Completed
100052,415,2025-10-11,1657.37,Completed
100053,132,2025-11-06,1033.57,Pending
100054,720,2024-03-09,3470.32,Completed
100055,470,2024-06-05,2009.89,Cancelled
100056,103,2024-05-08,5108.46,Completed
100057,140,2025-04-15,1339.36,Completed
100058,727,2025-07-26,7254.52,Completed
100059,108,2024-04-25,1802.95,Completed
100060,519,2026-01-01,1276.71,Completed
100061,698,2025-06-18,8614.66,Cancelled
100062,917,2025-08-02,548.4,Completed
100063,158,2026-06-11,1256.77,Completed
100064,290,2025-07-22,609.88,Completed
100065,154,2024-01-04,544.93,Completed
100066,887,2026-01-18,469.61,Completed
100067,595,2026-05-02,2687.68,Cancelled
100068,982,2024-03-22,758.74,Pending
100069,46,2025-06-08,1525.29,Completed
100070,708,2025-04-02,3214.05,Completed
100071,37,2024-05-27,2432.6,Completed
100072,108,2024-09-25,2355.69,Completed
100073,426,2026-04-12,3962.09,Completed
100074,359,2025-01-16,5123.9,Completed
100075,357,2025-06-06,797.84,Completed
100076,68,2026-01-26,2464.2,Pending
100077,543,2025-03-12,1508.09,Pending
100078,334,2026-05-17,1636.32,Completed
100079,994,2025-05-01,673.9,Pending
100080,793,2026-08-17,1273.82,Cancelled
100081,429,2024-05-23,1367.52,Completed
100082,769,2026-05-14,4560.59,Cancelled
100083,576,2024-04-19,849.45,Pending
100084,488,2026-03-02,381.84,Completed
100085,923,2025-10-05,1792.88,Cancelled
100086,589,2025-06-28,795.24,Completed
100087,476,2026-05-06,1643.88,Completed
100088,566,2025-09-15,2765.66,Completed
100089,786,2025-11-06,1686.92,Completed
100090,748,2026-01-03,1359.99,Completed
100091,548,2026-03-29,1625.84,Completed
100092,176,2024-08-13,3122.38,Cancelled
100093,639,2026-04-01,849.81,Cancelled
100094,426,2025-07-27,2890.13,Completed
100095,936,2024-02-01,936.97,Completed
100096,913,2026-06-12,2662.15,Completed
100097,1,2026-01-20,660.19,Completed
100098,1000,2026-05-17,2561.05,Completed
100099,906,2026-01-21,1684.67,Pending
100100,912,2024-12-02,1916.59,Completed
100101,491,2024-12-06,3357.18,Completed
100102,269,2024-09-26,1055.56,Completed
100103,609,2025-02-02,1770.93,Completed
100104,890,2024-02-03,2192.26,Completed
100105,443,2025-12-26,1482.05,Completed
100106,984,2026-01-02,2868.24,Completed
100107,258,2026-08-17,2230.38,Cancelled
100108,863,2025-06-19,1234.71,Completed
100109,66,2026-08-19,4084.76,Completed
100110,849,2024-07-23,2593.53,Completed
100111,946,2025-04-06,1040.93,Completed
100112,704,2026-01-31,1034.17,Completed
100113,624,2026-02-07,1560.65,Cancelled
100114,408,2026-01-22,2407.64,Pending
100115,881,2025-03-29,427.01,Completed
100116,125,2024-03-12,1069.78,Completed
100117,286,2026-04-22,1236.67,Completed
100118,129,2025-01-06,707.03,Completed
100119,275,2025-09-24,926.48,Pending
100120,521,2024-05-09,1968.03,Completed
100121,329,2026-06-30,1309.96,Completed
100122,417,2024-09-06,1378.61,Completed
100123,228,2026-08-28,734.67,Completed
100124,346,2025-11-27,1566.75,Completed
100125,491,2024-11-17,677.16,Completed
100126,210,2024-12-25,4646.69,Pending
100127,939,2026-08-10,5589.83,Completed
100128,903,2025-07-31,1323.43,Cancelled
100129,883,2025-11-04,867.8,Completed
100130,3,2025-08-19,3137.04,Completed
100131,488,2024-08-19,2645.4,Completed
100132,802,2024-05-08,6088.31,Completed
100133,342,2024-01-04,7239.03,Pending
100134,229,2025-01-29,482.08,Cancelled
100135,614,2025-10-27,3822.54,Completed
100136,4,2024-10-20,1557.62,Completed
100137,615,2024-08-04,2572.03,Completed
100138,444,2025-01-13,2984.37,Completed
100139,683,2024-08-13,2904.12,Completed
100140,682,2025-02-27,3448.8,Completed
100141,533,2025-06-21,1250.58,Completed
100142,585,2024-09-22,968.91,Cancelled
100143,30,2024-01-31,3893.39,Completed
100144,981,2024-04-09,1021.39,Completed
100145,78,2025-02-09,6035.72,Pending
100146,977,2024-06-21,1095.21,Completed
100147,974,2026-02-16,1405.29,Completed
100148,722,2024-06-09,1590.45,Completed
100149,752,2024-01-27,661.07,Completed
100150,34,2025-08-25,662.31,Completed
100151,951,2025-08-30,3256.36,Completed
100152,527,2025-10-15,588.46,Completed
100153,333,2024-06-03,9258.74,Completed
100154,670,2025-10-24,1693.17,Completed
100155,532,2026-04-19,921.93,Completed
100156,353,2025-08-11,2365.36,Cancelled
100157,313,2025-01-15,363.33,Completed
100158,118,2025-04-13,1449.14,Completed
100159,914,2026-03-01,1575.09,Completed
100160,667,2024-05-19,790.38,Completed
100161,283,2025-12-05,1193.79,Completed
100162,728,2024-09-19,4853.51,Completed
100163,693,2026-05-04,2027.69,Completed
100164,138,2024-05-16,2333.67,Completed
100165,173,2025-05-17,1079.34,Completed
100166,228,2025-01-24,761.53,Completed
100167,104,2025-04-17,1538.95,Completed
100168,830,2025-01-06,364.34,Completed
100169,155,2024-02-06,882.37,Completed
100170,819,2026-04-14,797.45,Completed
100171,528,2025-06-03,478.35,Completed
100172,117,2025-08-07,2744.99,Completed
100173,853,2025-05-22,1653.6,Completed
100174,172,2025-05-29,1203.22,Completed
100175,1000,2025-08-13,2784.16,Completed
100176,17,2025-02-12,618.17,Completed
100177,623,2024-05-07,751.61,Completed
100178,305,2024-01-29,3721.21,Completed
100179,531,2025-06-09,7930.38,Completed
100180,849,2024-06-30,2808.17,Completed
100181,791,2025-03-17,2445.64,Completed
100182,278,2025-08-11,1233.16,Completed
100183,64,2025-08-02,1251.73,Completed
100184,280,2024-06-12,2086.55,Cancelled
100185,818,2025-10-04,4393.69,Pending
100186,513,2026-07-04,2375.1,Completed
100187,763,2024-12-17,3355.03,Completed
100188,488,2024-04-25,992.27,Completed
100189,528,2025-05-05,2687.97,Completed
100190,65,2025-08-23,1163.48,Completed
100191,27,2025-01-19,1971.68,Completed
100192,704,2025-08-06,2686.05,Completed
100193,199,2026-01-14,1274.41,Completed
100194,353,2025-07-16,929.31,Completed
100195,361,2026-02-13,2278.4,Completed
100196,635,2024-05-22,1649.03,Cancelled
100197,943,2024-10-12,1966.53,Completed
100198,762,2025-06-24,2759.17,Completed
100199,640,2024-09-09,4210.25,Completed
100200,843,2026-08-25,2770.17,Completed
100201,506,2025-10-22,2543.52,Completed
100202,145,2025-02-04,1300.23,Completed
100203,480,2026-01-23,1436.69,Cancelled
100204,978,2026-08-14,2418.66,Pending
100205,784,2024-01-11,1421.45,Completed
100206,342,2025-06-25,2412.15,Completed
100207,314,2025-02-19,1059.33,Completed
100208,922,2026-01-04,6308.29,Cancelled
100209,94,2024-10-26,2041.48,Completed
100210,936,2024-11-12,1956.17,Completed
100211,677,2026-01-15,1315.34,Completed
100212,815,2026-05-16,6241.68,Completed
100213,319,2024-05-19,797.04,Completed
100214,650,2025-08-21,1139.77,Cancelled
100215,316,2026-01-27,3134.98,Completed
100216,20,2024-06-09,2103.42,Completed
100217,449,2025-10-05,1237.25,Completed
100218,980,2026-08-11,1260.53,Completed
100219,241,2026-03-31,1489.9,Completed
100220,162,2024-07-08,1923.56,Cancelled
100221,925,2026-08-21,4941.39,Completed
100222,916,2024-12-13,2667.5,Pending
100223,855,2025-04-08,3500.67,Completed
100224,977,2024-10-10,1357.31,Cancelled
100225,992,2025-11-11,2516.86,Cancelled
100226,923,2024-05-02,655.19,Completed
100227,966,2025-11-21,2026.23,Pending
100228,750,2024-02-23,1943.44,Completed
100229,307,2026-04-01,5880.89,Completed
100230,452,2024-11-13,4954.11,Completed
100231,374,2025-05-19,1521.66,Completed
100232,505,2024-08-09,1058.28,Completed
100233,698,2024-04-14,1077.33,Cancelled
100234,240,2024-01-23,1486.27,Pending
100235,19,2026-08-10,4195.1,Completed
